Language_ID,Parameter_ID,Form,Gloss,Native,Phonemic,Description,Source
thar,2615,kacro,"litter, trash",,m,,thari
thar,2588,kach,armpit,,,,thari
thar,2592,kacho,underwear,,,,thari
thar,2619,kachḇo,tortoise,,,,thari
thar,2648,kaṭorī,small metal bowl,,,,thari
thar,2648,kaṭoro,small metal bowl,,,,thari
thar,2858,katar,"scissors, diameter",,m,,thari
thar,2858,katarnī,manicures,,,,thari
thar,3070,katī,eighth month of īndian year,,,,thari
thar,2704,kathā,story,,,,thari
thar,2830,kan,ear,,,,thari
thar,2680,kaṇṭhī,"goitre, necklace, ring around neck",,f,,thari
thar,2680,kaṇṭhlo,"ornament for neck, necklace",,m,,thari
thar,2877,kapā,cotton,,,,thari
thar,2877,kapāsyo,cotton plant,,,,thari
thar,2744,kapāṛ,forehead,,,,thari
thar,2871,kapṛo,cloth,,,,thari
thar,2892,kam,work,,,,thari
thar,2764,kamar,"lotus, lilly",,f,,thari
thar,2771,kamlryo,blanket,,,,thari
thar,2930,karāī,wrist,,,,thari
thar,2638,kaṛāhī,big frying pan,,,,thari
thar,2629,kaṛī,anklet,,,,thari
thar,2814,kare,"for, due to",,postp,,thari
thar,3061,karelo,bitter gourd,,,,thari
thar,2629,kaṛo,bolt,,,,thari
thar,2629,kaṛokū̃ṭo,latch,,,,thari
thar,2629,karḍ̠oṛo,armlet,,,,thari
thar,2920,karsyo,metal vessel,,,,thari
thar,3637,kaṛhī,curry,,,,thari
thar,2927,kal,"hook, machine",,f,,thari
thar,2934,kalī,bud,,,,thari
thar,3341,kalīvāro,pot-tinner,,,,thari
thar,3103,kalejo,liver,,,,thari
thar,2592,kaso,belt,,,? or from [2908],thari
thar,2993,kā̃gṛo,crow,,,,thari
thar,3015,kā̃cyā,lose drawers,,,,thari
thar,2576,kā̃jhī,"bronze, bell-metal",,m,,thari
thar,2576,kā̃syā,cymbals,,,,thari
thar,2574,kā,or,,,?,thari
thar,2998,kākī,father's brother's wife,,,,thari
thar,2998,kāko,father's brother,,,,thari
thar,2998,kākṛo,uvula,,,,thari
thar,3007,kāc,glass,,,,thari
thar,2622,kājar,lamp black,,,,thari
thar,3121,kāṭhorī,saddle,,,,thari
thar,3236,kāṭhkuṭo,woodpecker,,,,thari
thar,3019,kāṇī,one-eyed,,,,thari
thar,2871,kāpaṛ,cloth,,,,thari
thar,2880,kāphūr,camphor,,,,thari
thar,3078,kāraj,work,,,perhaps ardhatatsama,thari
thar,3100,kārīg,watermelon,,,,thari
thar,3637,kāṛho,decoction,,,,thari
thar,3104,kāl,yesterday,,,,thari
thar,3037,kāvaṛ,"irritation, anger",,f,,thari
thar,3037,kāvaṛvāro,angry,,,,thari
thar,11225,kiḍo,how big,,,,thari
thar,3167,kitā,how many,,,,thari
thar,1564,kith,where,,,,thari
thar,3259,kino,"bad, deformed",,adj,?,thari
thar,3418,kiriṛī,lizard,,,,thari
thar,3498,kiroṛ,crore,,,,thari
thar,3164,kī̃,"how, why",,adv,,thari
thar,3164,kī,what,,,,thari
thar,3193,kīṛī,ant,,,,thari
thar,3193,kīṛo,"insect, worm",,m,,thari
thar,3226,kũj,arbour,,,,thari
thar,3898,kũḍ,corner,,,,thari
thar,3310,kũbhar,potter,,,,thari
thar,3303,kuār,bride,,,,thari
thar,3303,kuārī,maiden,,, adj",,thari
thar,3303,kuāro,bachelor,,, adj",,thari
thar,3208,kukaṛ,cock,,,,thari
thar,3208,kukṛī,hen,,,,thari
thar,3208,kukṛyo,chicken,,,,thari
thar,3893,kũhṭo,"bolt, hook",,m,,thari
thar,3275,kuto,dog,,,,thari
thar,3275,kutī,dog,,,,thari
thar,3264,kuno,earthen cooking pot,,,,thari
thar,3301,kuḇo,hunchback,,, adj",,thari
thar,3268,kurkā̃,earrings,,,,thari
thar,3730,kurpo,small scraper,,,,thari
thar,3730,kurpho,scraper,,,,thari
thar,3232,kuṛh,"stable, rectangular hut",,f,,thari
thar,3225,kū̃cī,key,,,,thari
thar,3264,kū̃ḍī,flowerpot,,,,thari
thar,3395,kūṛ,lie,,,,thari
thar,3395,kūṛo,liar,,,,thari
thar,3473,kesar,saffron,,,,thari
thar,2574,keh,someone,,,?,thari
thar,2574,kehṛo,"which, who",,pronoun,,thari
thar,2574,keho,"which, who",,pronoun,,thari
thar,3483,koil,cuckoo,,,,thari
thar,2967,koī,someone,,,,thari
thar,3614,koṭh,invitation,,,,thari
thar,3286,koḍ̠ar,spade,,,,thari
thar,2740,koḍ̠,shell,,,,thari
thar,2740,koḍ̠ī,small shell,,,,thari
thar,2575,koṇ,who,,,,thari
thar,3511,kothrī,bag,,,,thari
thar,3936,kopro,split coconut,,,,thari
thar,3535,korī,weaver,,,,thari
thar,3535,korīṛo,spider,,,,thari
thar,3530,koṛī,pack of 20 things,,,,thari
thar,2641,koṛo,bitter,,,,thari
thar,3373,koṛyo,leper,,, adj",,thari
thar,3371,koṛh,leprosy,,,,thari
thar,3419,kyāṛī,nape,,,,thari
thar,3498,kroṛ,crore,,,,thari
thar,3763,khãgh,cough,,,,thari
thar,3800,khãḍ̠,sugar,,,,thari
thar,3828,khajūr,date-palm,,,,thari
thar,3781,khaṭ,cot,,,,thari
thar,3777,khaṭo,sour,,,,thari
thar,3790,khaḍ̠,ditch,,,,thari
thar,3647,khatrī,washerman,,,,thari
thar,2721,khatho,blanket,,,,thari
thar,3769,khar,oilcake,,,,thari
thar,3851,kharaṛ,grinding-stone,,,,thari
thar,3834,kharo,threshing floor,,,,thari
thar,3848,khal,skin,,,,thari
thar,3852,khavo,shoulder,,,,thari
thar,3854,khasar,"itch, eczema",,f,,thari
thar,2985,khastūrī,musk,,,,thari
thar,3854,khasro,measles,,,,thari
thar,3777,khāṭyo,curry,,,,thari
thar,3873,khāṇ,mine,,,,thari
thar,3648,khāto,department,,,,thari
thar,3808,khādī,khadi,,,,thari
thar,3867,khāno,food,,,,thari
thar,3832,khābiryo,left-handed,,,,thari
thar,3849,khārī,channel,,,,thari
thar,3674,khāro,saltish,,,,thari
thar,3880,khic,"brew, gruel",,m,,thari
thar,3880,khicṇī,cooked rice,,,,thari
thar,3763,khīghāro,"mucus, phlegm",,m,,thari
thar,3880,khīcyo,porridge,,,,thari
thar,3202,khīlī,peg,,,,thari
thar,3202,khīlo,nail,,,,thari
thar,3724,khubī,mushroom,,,,thari
thar,3251,khuḍ,room,,,?,thari
thar,3906,khuṛ,hoof,,,,thari
thar,3730,khurpī,scraper,,,,thari
thar,3730,khurpī,poker,,,,thari
thar,3906,khuṛī,heel,,,,thari
thar,3945,khulyoro,open,,,,thari
thar,4174,khū̃jo,pocket,,,?,thari
thar,3898,khūṇo,corner,,,,thari
thar,3735,khetar,"farm, field",,m,,thari
thar,3735,khetrī,harvest,,,,thari
thar,3918,khel,"play, ski",,m,,thari
thar,3924,khes,cotton coverlet,,,,thari
thar,3931,khoṭo,wicked,,,,thari
thar,3936,khopo,leather hood,,,,thari
thar,3936,khoprī,skull,,,,thari
thar,3607,khor,lap,,,,thari
thar,3960,gãjo,bald,,,,thari
thar,4350,gãṭh,"boil, knot",,f,,thari
thar,4350,gãṭhā,measles,,,,thari
thar,4153,gac,"more, many, much",,adj,,thari
thar,3959,gajī,foam,,,,thari
thar,4140,gajar,carrot,,,,thari
thar,3986,gaḍ,castle,,,,thari
thar,3986,gaḍh,"fort, fortress",,m,,thari
thar,4054,gaḍ̠ah,donkey,,,,thari
thar,4054,gaḍ̠hī,donkey,,,,thari
thar,5279,ganāt,mother-in-law of son or daughter,,,ardhatatsama,thari
thar,5279,ganātī,relative,,,,thari
thar,3969,garā,hail,,,,thari
thar,4347a,garḍho,old,,,,thari
thar,3974,gaṛḇaṛ,confusion,,,,thari
thar,4089,galo,cheek,,,,thari
thar,4293,gavār,cowherd,,,,thari
thar,4368,gā̃,village,,,,thari
Khol,574,ambe,mother,,ambe,,kholosi
Khol,1268,ambo,mango,,ambo,,kholosi
Khol,385,andāđo,dark,,andɔðo,,kholosi
Khol,941,aterā,eight,,aterɔ,,kholosi
Khol,1338,atto,flour,,atto,,kholosi
Khol,5889,attu,you (sg.),,attu,,kholosi
Khol,43,ax,eye,,ax,,kholosi
Khol,227,acen,to come,,at͡ʃen,,kholosi
Khol,11405,balen,to run,,balen,?,kholosi
Khol,9161,ball,strength,,ball,or bal?,kholosi
Khol,6648,barā,two,,barɔ,,kholosi
Khol,9153,baxoro,sheep,,baxoro,,kholosi
Khol,9209,bābo,father's brother,,bɔbo,,kholosi
Khol,6250,dahri,beard,,dahri,,kholosi
Khol,6250,dahri tale,chin,,dahri tale,,kholosi
Khol,6152,dand,tooth,,dand,,kholosi
Khol,6152,dand digenen,to bite,,dand digenen,,kholosi
Khol,6190,darpen,to scare,,darpen,?,kholosi
Khol,6227,dazerā,ten,,dazerɔ,,kholosi
Khol,6333,deh,sun,,deh,"s > h is not active in Kholosi though, probably wrong etymon",kholosi
Khol,6140,diyen,to give,,dijen,,kholosi
Khol,6333,dizin,day,,dizin,,kholosi
Khol,6605,doter,grandchild,,doter,,kholosi
Khol,6495,dur,far,,dur,or from Persian,kholosi
Khol,6261,dāzo,elder brother,,dɔzo,,kholosi
Khol,4118,gahro,red,,gahro,,kholosi
Khol,4209,gavoro,heavy,,gavoro,,kholosi
Khol,4236,genen,to take,,genen,,kholosi
Khol,4154,geci,neck,,get͡ʃi,,kholosi
Khol,4516,gohro,horse,,gohro,,kholosi
Khol,4321,golāndo,round,,golɔndo,,kholosi
Khol,4147,gāv,cow,,gɔʋ,or from Persian,kholosi
Khol,4135,gāyen,to sing,,gɔjen,,kholosi
Khol,4135,gāy,song,,gɔj,,kholosi
Khol,14024,hat,hand,,hat,,kholosi
Khol,14152,hiyo,heart,,hijo,,kholosi
Khol,2462,hoko,one,,hoko,,kholosi
Khol,5213,jolo,spider,,d͡ʒolo,?,kholosi
Khol,2660,kadden,to pull,,kadden,,kholosi
Khol,2830,kan,ear,,kan,,kholosi
Khol,2184,ke,accusative-dative,,ke,,kholosi
Khol,3438,kerem,worm,,kerem,or from Persian,kholosi
Khol,3934,kolen,to dig,,kolen,?,kholosi
Khol,3002,konjen,to want,,kond͡ʒen,seems to be quite a conservatism,kholosi
Khol,3552,koso,warm,,koso,,kholosi
Khol,3275,kotoro,dog,,kotoro,,kholosi
Khol,3104,kāl,yesterday,,kɔl,,kholosi
Khol,3083,kāro,black,,kɔro,,kholosi
Khol,10948,len,to take,,len,citation form uncertain,kholosi
Khol,10978,lon,salt,,lon,,kholosi
Khol,10640,lāren,to throw,,lɔren,?,kholosi
Khol,9706,mangal,fire,,mangal,,kholosi
Khol,9871,maren,to die,,maren,,kholosi
Khol,9926,mato,head,,mato,,kholosi
Khol,10286,matti,dirt,,matti,,kholosi
Khol,9696,maxi,fly,,maxi,,kholosi
Khol,9758,machi,fish,,mat͡ʃʰi,,kholosi
Khol,10323,meo,fat,,meo,,kholosi
Khol,9828,mers,husband,,mers,,kholosi
Khol,10234,meter,urine,,meter,,kholosi
Khol,9962,miri,wife,,miri,,kholosi
Khol,10055,momo,mother's brother,,momo,,kholosi
Khol,9375,moni,bread,,moni,,kholosi
Khol,10001,mosi,mother's sister,,mosi,,kholosi
Khol,10158,mov,face,,moʋ,,kholosi
Khol,9883,moxoro,ant,,moxoro,,kholosi
Khol,9804,mā,"at, in (locative)",,mɔ,,kholosi
Khol,10066,māren,to kill,,mɔren,,kholosi
Khol,10016,māv,mother,,mɔʋ,,kholosi
Khol,10016,mov,mother,,moʋ,,kholosi
Khol,9691,māy,I,,mɔj,,kholosi
Khol,9982,māz,meat,,mɔz,,kholosi
Khol,10302,meh,rain,,meh,,kholosi
Khol,6983,nao,new; moon,,nao,,kholosi
Khol,7047,nari,throat,,nari,,kholosi
Khol,7081,nav,lake,,naʋ,?,kholosi
Khol,6984,naverā,nine,,naʋerɔ,,kholosi
Khol,7062,nei,navel,,nei,,kholosi
Khol,7150,noko,"small, short",,noko,,kholosi
Khol,7059,noni,grandmother,,noni,,kholosi
Khol,7059,nāno,grandfather,,nɔno,,kholosi
Khol,7067,nāy,name,,nɔj,,kholosi
Khol,7067,nāyo,name,,nɔjo,,kholosi
Khol,1388,olu,potato,,olu,,kholosi
Khol,9349,phen,younger sister,,pʰen,,kholosi
Khol,7655,panjerā,five,,pand͡ʒerɔ,,kholosi
Khol,7712,paren,to read,,paren,,kholosi
Khol,3283,parono,old,,parono,,kholosi
Khol,3283,perāno,old,,perɔno,,kholosi
Khol,7747,pay,foot,,paj,,kholosi
Khol,8376,pet,"belly, abdomen",,pet,,kholosi
Khol,7733,petak,leaf,,petak,?,kholosi
Khol,8265,peter,boy,,peter,,kholosi
Khol,8151,phec,tail,,pʰet͡ʃ,,kholosi
Khol,8209,piyen,to drink,,pijen,,kholosi
Khol,8179,pu,father,,pu,,kholosi
Khol,8179,phu,father,,pʰu,,kholosi
Khol,7747,pāyo,leg,,pɔjo,,kholosi
Khol,9089,phepi,father's sister,,pʰepi,,kholosi
Khol,9557,phi,earth,,pʰi,,kholosi
Khol,10539,rat,blook,,rat,,kholosi
Khol,10628,rayen,to play,,rajen,,kholosi
Khol,10840,royen,to cry,,rojen,,kholosi
Khol,10702,rāt,night,,rɔt,,kholosi
Khol,13080,sagen,to be able to,,sagen,+subjunctive,kholosi
Khol,12359,saodo,rabbit,,saodo,?,kholosi
Khol,13271,sap,snake,,sap,,kholosi
Khol,13139,saterā,seven,,saterɔ,,kholosi
Khol,12278,sau,hundred,,sau,,kholosi
Khol,13905,semen,to sleep,,semen,,kholosi
Khol,12598,senen,to hear,,senen,,kholosi
Khol,13444,siben,to sew,,siben,,kholosi
Khol,12372,sino,thin,,sino,,kholosi
Khol,13401,siđa,straight,,siða,,kholosi
Khol,12506,sokolo,white,,sokolo,,kholosi
Khol,13276,sāf,all,,sɔf,,kholosi
Khol,4749,sāl,rice,,sɔl,?,kholosi
Khol,13127,sāndo,with (comitative),,sɔnda,,kholosi
Khol,12672,sāo,green,,sɔo,,kholosi
Khol,5994,tereṛā,three,,tereɽɔ,,kholosi
Khol,5798,tāro,star,,tɔro,,kholosi
Khol,13774,thal,mountain,,tʰal,,kholosi
Khol,6481,thiv,girl,,tʰiʋ,,kholosi
Khol,13752,thiyen,to become,,tʰijen,,kholosi
Khol,6886,thoyen,to wash,,tʰojen,,kholosi
Khol,13776,thāllo,fat (adj.),,tʰɔllo,,kholosi
Khol,13676,thāđo,cold,,tʰɔðo,,kholosi
Khol,6368,thāṛgo,"tall, long",,tʰɔɽgo,,kholosi
Khol,11381,vadden,to cut,,ʋadden,,kholosi
Khol,12223,vanen,to go,,ʋanen,,kholosi
Khol,11308,var,"greater, more",,ʋar,,kholosi
Khol,11309,varet,"groom, son-in-law",,ʋaret,,kholosi
Khol,11250,vaz,bride,,ʋaz,,kholosi
Khol,11225,vazo,big,,ʋazo,,kholosi
Khol,11225,vazoro,"elder, chief (noun)",,ʋazoro,,kholosi
Khol,12196,vāt,mouth,,ʋɔt,,kholosi
Khol,11366,vāt,path,,ʋɔt,,kholosi
Khol,11544,vāv,wind,,ʋɔʋ,,kholosi
Khol,11544,vāv chiyen,to swell,,ʋɔʋ t͡ʃʰijen,,kholosi
Khol,2245,vezen,to sit,,ʋezen,,kholosi
Khol,3848,xal,"skin, bark (of a tree)",,xal,,kholosi
Khol,3834,xallo,barley,,xallo,? probably wrong,kholosi
Khol,3828,xaru,date,,xaru,?,kholosi
Khol,3882,xelen,to laugh,,xelen,,kholosi
Khol,3663,xeren,to fall,,xeren,?,kholosi
Khol,3665,xomen,to burn,,xomen,?,kholosi
Khol,3128,xāti,"stick, wood",,xɔti,?,kholosi
Khol,3865,xāyen,to eat,,xɔjen,,kholosi
Khol,11714,ānen,to bring,,ɔnen,,kholosi
Khol,134,āngul,finger,,ɔngul,,kholosi
Khol,1111,āno,egg,,ɔno,,kholosi
Khol,603,ārak,elbow,,ɔrak,,kholosi
Khol,4711,caben,to chew,,t͡ʃaben,,kholosi
Khol,4724,cayen,to say,,t͡ʃajen,,kholosi
Khol,4937,curi karen,to steal,,t͡ʃuri karen,,kholosi
Khol,4655,cāllo,four,,t͡ʃɔllo,,kholosi
Khol,5041,chiyen,to hit,,t͡ʃʰijen,,kholosi
Khol,5032,chekken,to sneeze,,t͡ʃʰekken,,kholosi
Khol,12803,cherā,six,,t͡ʃʰerɔ,,kholosi
Khol,5070,chorko,son,,t͡ʃʰorko,,kholosi
Khol,5070,churki,daughter,,t͡ʃʰurki,,kholosi
Khol,3674,chār,ash,,t͡ʃʰɔr,,kholosi
Phal,549,áabru,cloud,آبروۡ,áabru,,liljegren
Phal,549,áabur,cloud,,,,liljegren
Phal,227,áača,to enter; come inside; move into,آچہ,áatɕa,,liljegren
biori,227,áače,to enter; come inside; move into,,,,liljegren
Phal,30,aac̣háaru,a pine tree,آڇھاروۡ,aaʈʂʰáaru,,liljegren
Phal,644,áaḍu,"half; half of, some of; the one half; half of the people; some of them, etc.",آڈوۡ,áaɖu,,liljegren
Phal,242,aáǰ,today,آج,"áaʑ, áadʑ",,liljegren
biori,242,aǰ,today,,,,liljegren
Phal,2462,áak,"one; one (person), someone",آک,áak,,liljegren
Phal,2462,áa,"one; one (person), someone",,,,liljegren
biori,2462,"ak, a","one; one (person), someone",,,,liljegren
Phal,1252,aamburíi,rub; wrinkle,آمبُری,aamburíi,,liljegren
Phal,1265,aamúuṣa,to forget,آمُوݜہ,aamúuʂa,,liljegren
biori,1265,aamúuṣe,to forget,,,,liljegren
Phal,100,áangu,sickle,آںگوۡ,áaŋɡu,,liljegren
Phal,910,áašuṇ,hail,آشُݨ,áaɕuɳ,,liljegren
Phal,910,áašuṇḍ,hail,,,,liljegren
biori,910,"áašum, háašum",hail,,,,liljegren
Phal,1474,aaṣaáṛ,apricot,آݜاڑ,"aaʂaáɽ, aaʈʂʰaáɽ",,liljegren
Phal,941,áaṣṭ,eight,آݜٹ,áaʂʈ,,liljegren
biori,941,aṣṭ,eight,,,,liljegren
Phal,1440,aawíiṛu,narrow ; tight,آوِیڑوۡ,aawíiɽo,,liljegren
Phal,1008,aaghaá,sky,آگھا,aaɡʰaá,,liljegren
Phal,11338,aaghaabáanu,sky-coloured,آگھا بانوۡ,aaɡhabáanu,,liljegren
Phal,6534,abhíiṇi,cowife,ابِھیݨیۡ,abhíiɳi,,liljegren
Phal,43,ac̣híi,eye,اڇھی,aʈʂíi,,liljegren
Phal,48,ac̣hoóṛ,walnut,اڇھوڑ,aʈʂʰoóɽ,,liljegren
Phal,48,ac̣húuṛi,walnut tree,اڇُھوڑیۡ,aʈʂúuɽi,,liljegren
Phal,2485,akóoš,eleven,اکوش,akóoɕ,,liljegren
biori,2485,akáaš,eleven,,,,liljegren
Phal,283,anú,it; he; this one (prox masc nom),انوۡ,anú,,liljegren
Phal,131,angeerí,coal,انگیریۡ,aŋɡeerí,,liljegren
Phal,125,angóor,fire,انگور,aŋɡóor,,liljegren
biori,125,angáar,fire,,,,liljegren
Phal,135,angúṛu,thumb; big toe,انگُڑوۡ,aŋɡúɽo,,liljegren
Phal,65,angúṭ,fireplace,انگُٹ,aŋɡúʈ,,liljegren
Phal,2411,aṇabhiíš,nineteen,اݨبِھیش,aɳabʰiíɕ,,liljegren
Phal,986,asíi,our (1pl gen),اسی,asíi,,liljegren
biori,986,asée,our (1pl gen),,,,liljegren
Phal,946,aṣṭóoš,eighteen,اݜٹوش,aʂʈóoɕ,,liljegren
biori,946,aṣṭáaš,eighteen,,,,liljegren
Phal,178,aṭíi,to bring sth or sb; give birth,اٹی,aʈíi,,liljegren
Phal,9209,báabu,father,بابوۡ,báabu,,liljegren
Phal,11376,báaḍa,to grow (up),باڈہ,báaɖa,,liljegren
biori,11376,bháaḍe,to grow (up),,,,liljegren
Phal,11392,báaṣ,rain,باݜ,báaʂ,,liljegren
biori,11392,baṣ,rain,,,,liljegren
Phal,11564,baát,"word; talk; issue, matter; speech, language",بات,baát,,liljegren
Phal,11348,báaṭ,"stone, rock",باٹ,báaʈ,,liljegren
biori,11348,baṭ,"stone, rock",,,,liljegren
Phal,9229,baaugáaṛu,shoulder,باؤگاڑوۡ,baawɡáaɽu,,liljegren
Phal,9387,babaáy,apple,ببائیۡ,babaáj,,liljegren
biori,9387,babéi,apple,,,,liljegren
Phal,11239,bac̣húuṛu,young male calf,بڇُھوڑوۡ,"baʈʂʰúuɽo, baʂúuɽo",,liljegren
Phal,11385,baḍhíir,sledge-hammer,بڈِھیر,baɖhíir,,liljegren
Phal,9153,bakáara,flock of sheep and goats,بکارہ,bakáara,,liljegren
Phal,9154,bakaraál,shepherd; goatherd,بکرال,bakaraál,,liljegren
Phal,11439,basaánd,spring; can also refer more specifically to the first part of spring (a 40-day period) when days are warmer and plants begin to grow and flowers blossom (appr. 1 Apr-10 May),بساند,"basaánd, basaán",,liljegren
biori,11439,basán,spring; can also refer more specifically to the first part of spring (a 40-day period) when days are warmer and plants begin to grow and flowers blossom (appr. 1 Apr-10 May),,,,liljegren
Phal,11241,batshaár,calf that can plough but is not yet full-grown (2-4 years old),بڅھار,batsʰaár,,liljegren
Phal,12622,baṭoošaáṇṭ,sling-shot,بٹوشانٹ,baʈooɕaáɳʈ,,liljegren
Phal,11302,be,we (1pl nom),بےۡ,be,,liljegren
Phal,12051,beedhríi,to clear up (about sky),بیدھری,beedrhíi,,liljegren
Phal,6685,béeǰi,heifer,بیجیۡ,béedʑi,,liljegren
