Khol,6886,thoyen,to wash,,tʰojen,,kholosi
Khol,13776,thāllo,fat (adj.),,tʰɔllo,,kholosi
Khol,13676,thāđo,cold,,tʰɔðo,,kholosi
Khol,6368,thāṛgo,"tall, long",,tʰɔɽgo,,kholosi
Khol,11381,vadden,to cut,,ʋadden,,kholosi
Khol,12223,vanen,to go,,ʋanen,,kholosi
Khol,11308,var,"greater, more",,ʋar,,kholosi
Khol,11309,varet,"groom, son-in-law",,ʋaret,,kholosi
Khol,11250,vaz,bride,,ʋaz,,kholosi
Khol,11225,vazo,big,,ʋazo,,kholosi
Khol,11225,vazoro,"elder, chief (noun)",,ʋazoro,,kholosi
Khol,12196,vāt,mouth,,ʋɔt,,kholosi
Khol,11366,vāt,path,,ʋɔt,,kholosi
Khol,11544,vāv,wind,,ʋɔʋ,,kholosi
Khol,11544,vāv chiyen,to swell,,ʋɔʋ t͡ʃʰijen,,kholosi
Khol,2245,vezen,to sit,,ʋezen,,kholosi
Khol,3848,xal,"skin, bark (of a tree)",,xal,,kholosi
Khol,3834,xallo,barley,,xallo,? probably wrong,kholosi
Khol,3828,xaru,date,,xaru,?,kholosi
Khol,3882,xelen,to laugh,,xelen,,kholosi
Khol,3663,xeren,to fall,,xeren,?,kholosi
Khol,3665,xomen,to burn,,xomen,?,kholosi
Khol,3128,xāti,"stick, wood",,xɔti,?,kholosi
Khol,3865,xāyen,to eat,,xɔjen,,kholosi
Khol,11714,ānen,to bring,,ɔnen,,kholosi
Khol,134,āngul,finger,,ɔŋgul,,kholosi
Khol,1111,āno,egg,,ɔno,,kholosi
Khol,603,ārak,elbow,,ɔrak,,kholosi
Khol,4711,caben,to chew,,t͡ʃaben,,kholosi
Khol,4724,cayen,to say,,t͡ʃajen,,kholosi
Khol,4937,curi karen,to steal,,t͡ʃuri karen,,kholosi
Khol,4655,cāllo,four,,t͡ʃɔllo,,kholosi
Khol,5041,chiyen,to hit,,t͡ʃʰijen,,kholosi
Khol,5032,chekken,to sneeze,,t͡ʃʰekken,,kholosi
Khol,12803,cherā,six,,t͡ʃʰerɔ,,kholosi
Khol,5070,chorko,son,,t͡ʃʰorko,,kholosi
Khol,5070,churki,daughter,,t͡ʃʰurki,,kholosi
Khol,3674,chār,ash,,t͡ʃʰɔr,,kholosi
Khol,4471,xāz,grass,,xɔz,,kholosi
Khol,5983,pān,reflexive pron.,,pɔn,,kholosi
Khol,8012,pasen,to see,,pasen,,kholosi
Khol,4251,geh,room; house,,geh,,kholosi
Khol,4564,cango,good,,t͡ʃaŋgo,,kholosi
Khol,e18,cel,waist,,t͡ʃel,,kholosi
