Cognateset_ID,Language_ID,Form,Description,Source
41,Indo-Aryan,akṣānta,"<number>41</number> *<b>akṣānta</b> ʻ unbearable ʼ. [Cf. <i>kṣānta</i> -- ʻ patient ʼ Mn., ʻ pardoned ʼ MBh.: √<smallcaps>kṣam</smallcaps>]",cdial
41a,Indo-Aryan,akṣāpita- ,<number>41a</number> *<b>akṣāpita -- </b> Add. 14194.<div>  			</div>,cdial
42,Indo-Aryan,akṣāmita,<number>42</number> *<b>akṣāmita</b> ʻ unbearable ʼ. [Cf. <smallcaps>kṣāmayatē: √kṣam</smallcaps>],cdial
43,Indo-Aryan,ákṣi,<number>43</number> <b>ákṣi</b> n. ʻ eye ʼ RV.,cdial
43a,Indo-Aryan,akṣība- ,<number>43a</number> <b>akṣība -- </b> Add. 14196.<div>  			</div>,cdial
44,Indo-Aryan,akṣibhruva,"<number>44</number> <b>akṣibhruva</b> n. ʻ the eyes and the brows ʼ Pāṇ. [<smallcaps>ákṣi -- , bhrūˊ</smallcaps> -- ]",cdial
45,Indo-Aryan,akṣirujā,"<number>45</number> *<b>akṣirujā</b> f. ʻ eye -- disease ʼ. [Cf. <i>akṣiruj</i> -- f. VarBr̥S., Pa. <i>akkhirōga</i> -- m.: <smallcaps>ákṣi -- , rujā</smallcaps> -- ]",cdial
46,Indo-Aryan,ákṣu,"<number>46</number> <b>ákṣu</b> m. perh. ʻ bamboo -- pole ʼ AV. (T. Chowdhury JBORS xvii 26.) [Cf. <smallcaps>ákṣa -- <superscript>1</superscript>, ikṣú</smallcaps> -- ]",cdial
47,Indo-Aryan,akṣēma,<number>47</number> *<b>akṣēma</b> ʻ unpeaceful ʼ. [<smallcaps>kṣḗma</smallcaps> -- ],cdial
48,Indo-Aryan,akṣōṭa,"<number>48</number> <b>akṣōṭa</b> m. ʻ walnut (or pistacio nut ?) ʼ Kālid., ʻ Aleurites triloba, Croton moluccanum ʼ Suśr., ʻ a mountain -- tree <smallcaps>pīlú</smallcaps> -- <superscript>1</superscript> ʼ, lex.; <i>akṣōḍa</i> -- , <i>˚aka</i> -- , <i>ākṣōḍa</i> -- , <i>ākhōṭa</i> -- lex. -- lw. in Ir. Ormuri <i>waṭk</i> &lt; *<i>akhōṭa</i> -- Morgenstierne IIFL i 412.",cdial
48a,Indo-Aryan,akhādya- ,<number>48a</number> †<b>akhādya -- </b> ʻ not to be eaten ʼ MW. [<smallcaps>khādya -- : √khād</smallcaps>],cdial
48b,Indo-Aryan,akhila- ,"<number>48b</number> †<b>akhila -- </b> ʻ complete, whole ʼ Kāv. [Closer to <smallcaps>khila -- <superscript>2</superscript>, *khilla</smallcaps> -- in the (generalized?) sense ʻ defect ʼ than to <smallcaps>khilá -- <superscript>1</superscript>, khilyá</smallcaps> -- in the special sense ʻ uncultivated, fallow land ʼ. -- Alleged senses ʻ gap, supplement ʼ (so EWA iii 691) are hypothetical]",cdial
49,Indo-Aryan,agaru,"<number>49</number> <b>agaru</b> m.n. ʻ fragrant Aloe -- tree and wood, Aquilaria agallocha ʼ lex., <i>aguru</i> -- R. [← Drav. Mayrhofer EWA i 17 with lit.]",cdial
50,Indo-Aryan,agásti,"<number>50</number> <b>agásti</b> m. ʻ the tree Agasti grandiflorum ʼ Suśr. [← Drav. Burrow BSOAS 12, 365; <i>Agásti</i> -- m. ʻ nom. prop. ʼ perh. from this, Mayrhofer EWA I 17]",cdial
51,Indo-Aryan,ágāt,<number>51</number> <b>ágāt</b> ʻ has come ʼ RV. [√<smallcaps>gā</smallcaps>],cdial
52,Indo-Aryan,agāra,"<number>52</number> <b>agāra</b> n. ʻ house ʼ ĀśvGr̥., <i>āgāra</i> -- Mn. [Prob. ← Drav., Mayrhofer EWA i 17 with lit.]",cdial
53,Indo-Aryan,agāhya,<number>53</number> *<b>agāhya</b> ʻ unfathomable ʼ. [Cf. <i>durgāhya</i> -- Suśr. (to be separated fr. <i>agādha</i> -- ʻ deep ʼ R. &lt; ʻ *having no ford ʼ): √<smallcaps>gāh</smallcaps>],cdial
54,Indo-Aryan,aguṇa,<number>54</number> <b>aguṇa</b> m. ʻ wickedness ʼ MBh. [<smallcaps>guṇá</smallcaps> -- ],cdial
55,Indo-Aryan,agní,<number>55</number> <b>agní</b><superscript>1</superscript> m. ʻ fire ʼ. RV.,cdial
56,Indo-Aryan,agni,"<number>56</number> <b>agni</b><superscript>2</superscript> m. ʻ name of various plants, Plumbago zeylanica (Suśr.), Semecarpus anacardium, Citrus acida (lex.) ʼ. [Same as <smallcaps>agní</smallcaps> -- <superscript>1</superscript> ?]",cdial
57,Indo-Aryan,agnika,"<number>57</number> <b>agnika</b> ʻ *fiery ʼ, m. ʻ the plant Semecarpus anacardium; a partic. scarlet insect ʼ lex., cf. <i>āgnika</i> -- ʻ belonging to the preparation of the sacred fire ʼ KātyŚr. [<smallcaps>agní</smallcaps> -- <superscript>1</superscript>]",cdial
58,Indo-Aryan,agnikārya,"<number>58</number> <b>agnikārya</b> m. ʻ kindling the sacred fire with butter ʼ Mn., <i>˚rikā</i> -- f. lex. [<smallcaps>agní -- <superscript>1</superscript>, kāryà</smallcaps> -- ]",cdial
59,Indo-Aryan,agnidāha,"<number>59</number> <b>agnidāha</b> m. ʻ a fiery glow (in the sky) ʼ Hariv. [Cf. <i>agnídagdha</i> -- ʻ burnt with fire ʼ RV.: <smallcaps>agní -- <superscript>1</superscript>, dāha</smallcaps> -- ]",cdial
60,Indo-Aryan,agnidhā́na,"<number>60</number> <b>agnidhāˊna</b> n. ʻ receptacle for the sacred fire ʼ RV. [<smallcaps>agní -- <superscript>1</superscript>, dhāˊna</smallcaps> -- ]",cdial
60a,Indo-Aryan,agnidhānya- ,<number>60a</number> †*<b>agnidhānya -- </b> ʻ fit for fire -- receptacle ʼ. [<smallcaps>agnidhāˊna</smallcaps> -- ],cdial
61,Indo-Aryan,agnimantha,"<number>61</number> <b>agnimantha</b> ʻ producing fire by friction ʼ, m. ʻ the tree Premna spinosa ʼ Suśr. [<smallcaps>agní -- <superscript>1</superscript>, mantha</smallcaps> -- ]",cdial
62,Indo-Aryan,agnirujā,"<number>62</number> *<b>agnirujā</b> ʻ a disease with burning sensation ʼ. [<smallcaps>agní -- <superscript>1</superscript>, rujā</smallcaps> -- ]",cdial
63,Indo-Aryan,agnírūpa,"<number>63</number> <b>agnírūpa</b> ʻ like fire ʼ RV. [<smallcaps>agní -- <superscript>1</superscript>, rūpá</smallcaps> -- ]. See *<smallcaps>agni- rujā</smallcaps> -- .<div>  			</div>",cdial
64,Indo-Aryan,agniśikhā́,"<number>64</number> <b>agniśikhāˊ</b> f. ʻ flame ʼ ŚBr. [<smallcaps>agní -- <superscript>1</superscript>, śíkhā</smallcaps> -- ]",cdial
65,Indo-Aryan,agniṣṭhá,"<number>65</number> <b>agniṣṭhá</b> m. ʻ fire -- pan ʼ ĀpŚr., <i>˚ṭhāˊ</i> -- f. ʻ that corner of the Yūpa towards the fire ʼ ŚBr., <i>˚ṭhikā</i> -- f. ʻ fire -- pan ʼ. [<smallcaps>agní -- <superscript>1</superscript>, stha</smallcaps> -- ]",cdial
66,Indo-Aryan,agnisthāna,"<number>66</number> *<b>agnisthāna</b> n. ʻ fireplace ʼ. [Cf. Pa. <i>aggiṭṭhāna</i> n. - <smallcaps>agní -- <superscript>1</superscript>, sthāˊna</smallcaps> -- ]",cdial
67,Indo-Aryan,agnyagārá,"<number>67</number> <b>agnyagārá</b> m. ʻ a house for keeping the sacred fire ʼ ŚBr., <i>agnyā˚</i> KātyŚr., *<i>agniyā̆˚.</i> [<smallcaps>agní -- <superscript>1</superscript>, agāra</smallcaps> -- ]",cdial
68,Indo-Aryan,ágra,"<number>68</number> <b>ágra</b> n. ʻ top, summit ʼ RV., ʻ front ʼ Mn.",cdial
69,Indo-Aryan,agragaṇḍa,"<number>69</number> *<b>agragaṇḍa</b> ʻ top of sugar -- cane ʼ. [<smallcaps>ágra -- , gaṇḍa</smallcaps> -- <superscript>2</superscript>]",cdial
70,Indo-Aryan,agragamaṇa,"<number>70</number> *<b>agragamaṇa</b> ʻ going in front ʼ. [<smallcaps>ágra -- , gamana</smallcaps> -- ]",cdial
71,Indo-Aryan,agragāmin,"<number>71</number> <b>agragāmin</b> m. ʻ guide ʼ Pāṇ. [<smallcaps>ágra -- , gāmin</smallcaps> -- ]",cdial
71a,Indo-Aryan,agrajanī- ,"<number>71a</number> †*<b>agrajanī -- </b> ʻ first pregnancy ʼ (?). [<smallcaps>ágra -- , jáni</smallcaps> -- ]",cdial
72,Indo-Aryan,agrataḥsara,"<number>72</number> <b>agrataḥsara</b> ʻ going in front ʼ Pāṇ. [<smallcaps>agratás, sara</smallcaps> -- ]",cdial
73,Indo-Aryan,agratás,<number>73</number> <b>agratás</b> ʻ in front ʼ RV. [<smallcaps>ágra</smallcaps> -- ],cdial
74,Indo-Aryan,agratōjāta,"<number>74</number> *<b>agratōjāta</b> ʻ born earlier ʼ. [Cf. <i>agrajāˊ</i> -- ʻ first -- born ʼ RV., Pk. <i>aggajāya</i> -- : <smallcaps>agratás, jātá</smallcaps> -- ]",cdial
75,Indo-Aryan,agrapāli,"<number>75</number> *<b>agrapāli</b> ʻ front, point ʼ. [<smallcaps>ágra -- , *pāḍi</smallcaps> -- ]",cdial
76,Indo-Aryan,agrapūjā,"<number>76</number> <b>agrapūjā</b> f. ʻ highest act of reverence ʼ R. [<smallcaps>ágra -- , pūjā</smallcaps> -- ]",cdial
77,Indo-Aryan,agramāṁsa,"<number>77</number> <b>agramāṁsa</b> n. ʻ heart ʼ lex. [<smallcaps>ágra -- , māṁsá</smallcaps> -- ]",cdial
77a,Indo-Aryan,agramukha- ,"<number>77a</number> †*<b>agramukha -- </b> ʻ facing forward ʼ. 2. †*<b>agrāmukha -- </b>. [Cf. *<smallcaps>paścamukha</smallcaps> -- . With <i>agrā</i> -- cf. <smallcaps>paścāˊ, uttarāpatha -- . -- ágra -- , múkha</smallcaps> -- ]",cdial
78,Indo-Aryan,agrayā́van,"<number>78</number> <b>agrayāˊvan</b> ʻ going before ʼ RV. [Cf. <smallcaps>agragāmin -- , *agragamaṇa -- : ágra -- , yāˊvan</smallcaps> -- ]",cdial
79,Indo-Aryan,agravarṣā,"<number>79</number> *<b>agravarṣā</b> f. ʻ the end rain ʼ. [<smallcaps>ágra -- , varṣāˊ</smallcaps> -- ]",cdial
80,Indo-Aryan,agravāṭa,"<number>80</number> *<b>agravāṭa</b> m. ʻ enclosed space in front ʼ. [<smallcaps>ágra -- , vāṭa</smallcaps> -- <superscript>1</superscript>]",cdial
81,Indo-Aryan,agravāsa,"<number>81</number> *<b>agravāsa</b> m. ʻ front of a house ʼ. [<smallcaps>ágra -- , vāsá</smallcaps> -- <superscript>2</superscript>]",cdial
82,Indo-Aryan,agravāha,"<number>82</number> *<b>agravāha</b> ʻ leading in front ʼ. [<smallcaps>ágra -- , vāhá</smallcaps> -- ]",cdial
83,Indo-Aryan,agravr̥ddhi,"<number>83</number> *<b>agravr̥ddhi</b> f. [<smallcaps>ágra -- , vŕ̊ddhi</smallcaps> -- <superscript>2</superscript>]",cdial
84,Indo-Aryan,agravr̥ṣṭi,"<number>84</number> *<b>agravr̥ṣṭi</b> f. ʻ initial rain ʼ. [<smallcaps>ágra -- , vr̥ṣṭí</smallcaps> -- ]",cdial
85,Indo-Aryan,agraśás,<number>85</number> <b>agraśás</b> ʻ from the beginning ʼ AV. [<smallcaps>ágra</smallcaps> -- ],cdial
86,Indo-Aryan,agrasara,"<number>86</number> <b>agrasara</b> ʻ going in front ʼ Kālid. [<smallcaps>ágra -- , sara</smallcaps> -- ; -- cf. Pk. <i>aggēsara</i> -- m. ʻ leader ʼ]",cdial
87,Indo-Aryan,agrasasya,"<number>87</number> *<b>agrasasya</b> n. ʻ first -- fruits ʼ. [<smallcaps>ágra -- , sasyá</smallcaps> -- ]",cdial
88,Indo-Aryan,agrahāyaṇa,"<number>88</number> <b>agrahāyaṇa</b> m. ʻ the month November -- December (= <i>mārgaśīrṣa</i> -- ) ʼ lex. [Cf. <i>āgrahāyaṇī</i> -- f. ʻ the full moonday in that month ʼ Pāṇ.: <smallcaps>ágra -- , hāyaná</smallcaps> -- ]",cdial
89,Indo-Aryan,agrānta,"<number>89</number> *<b>agrānta</b> ʻ front or near end ʼ. [<smallcaps>ágra -- , ánta</smallcaps> -- ]",cdial
90,Indo-Aryan,agrāmin,<number>90</number> *<b>agrāmin</b> ʻ not rustic ʼ. [<smallcaps>grāmín</smallcaps> -- ],cdial
91,Indo-Aryan,agrāmya,<number>91</number> <b>agrāmya</b> ʻ not rustic ʼ MW. [<smallcaps>grāmyá</smallcaps> -- ],cdial
92,Indo-Aryan,agrimá,<number>92</number> <b>agrimá</b> ʻ being in front ʼ RV. [<smallcaps>ágra</smallcaps> -- ],cdial
93,Indo-Aryan,agriyapāṭa,"<number>93</number> *<b>agriyapāṭa</b> ʻ front expanse ʼ. [<smallcaps>agriyá -- , pāṭa</smallcaps> -- ]",cdial
94,Indo-Aryan,agrēgū́,"<number>94</number> <b>agrēgūˊ</b> ʻ going in front ʼ VS. [Cf. <i>agrēgāˊ</i> -- TBr., <i>˚gá</i>- RV.; -- perh. replaced by *<i>agragū</i>, cf. <i>agraga</i> -- ʻ leading ʼ R. -- <smallcaps>ágra -- , √gā</smallcaps>]",cdial
95,Indo-Aryan,"agrḗtvan- ,","<number>95</number> <b>agrḗtvan -- ,</b> f. <i>˚tvarī</i> -- , ʻ going in front ʼ AV. [<smallcaps>ágra -- , -- itvan</smallcaps> -- and <smallcaps>itvará</smallcaps> -- ]",cdial
96,Indo-Aryan,agrōpasthāka,"<number>96</number> *<b>agrōpasthāka</b> ʻ chief servitor ʼ. [<smallcaps>ágra -- , upasthāka</smallcaps> -- ]",cdial
97,Indo-Aryan,agryá,"<number>97</number> <b>agryá</b> ʻ foremost, topmost ʼ ŚBr. 2. <b>agriyá -- </b> RV. 3. n. ʻ first -- fruits ʼ RV. [<smallcaps>ágra</smallcaps> -- ]",cdial
98,Indo-Aryan,agryapaṇa,"<number>98</number> *<b>agryapaṇa</b> ʻ chief price or payment in first -- fruits. ʼ [<smallcaps>agryá -- , paṇa</smallcaps> -- ]",cdial
98a,Indo-Aryan,aghá- ,"<number>98a</number> <b>aghá -- </b> ʻ bad ʼ, n. ʻ mishap ʼ RV.",cdial
99,Indo-Aryan,aghr̥ṣṭa,<number>99</number> *<b>aghr̥ṣṭa</b> ʻ not rubbed out ʼ. [√<smallcaps>ghr̥ṣ</smallcaps>],cdial
100,Indo-Aryan,aṅká,"<number>100</number> <b>aṅká</b> m. ʻ hook ʼ RV., ʻ hip where children are carried ʼ Br̥ĀrUp., ʻ curved line, mark, sign ʼ R. [√<smallcaps>añc</smallcaps>]",cdial
101,Indo-Aryan,aṅkakāra,"<number>101</number> *<b>aṅkakāra</b> m. ʻ act of marking ʼ [<smallcaps>aṅká -- , kāra</smallcaps> -- <superscript>1</superscript>]",cdial
102,Indo-Aryan,aṅkana,"<number>102</number> <b>aṅkana</b> adj. ʻ marking ʼ Nir., n. ʻ branding ʼ Mit. com. [<smallcaps>aṅkáyati, aṅká -- : √añc</smallcaps>]",cdial
103,Indo-Aryan,"aṅkapāli- ,- ikā","<number>103</number> <b>aṅkapāli -- , -- ikā</b> f. ʻ embrace ʼ lex., <i>aṅkōlikā</i> -- f. lex. [<smallcaps>aṅká -- , *pāḍi</smallcaps> -- ]",cdial
104,Indo-Aryan,aṅkáyati,"<number>104</number> <b>aṅkáyati</b> ʻ marks, brands ʼ MBh. [<smallcaps>aṅká -- : √añc</smallcaps>]",cdial
105,Indo-Aryan,aṅkāśrita,"<number>105</number> *<b>aṅkāśrita</b> ʻ attached to a hook ʼ. [<smallcaps>aṅká -- , āśrita</smallcaps> -- ]",cdial
106,Indo-Aryan,aṅkita,"<number>106</number> <b>aṅkita</b> ʻ marked, branded ʼ. [<smallcaps>aṅkáyati: √añc</smallcaps>]",cdial
107,Indo-Aryan,aṅku,"<number>107</number> *<b>aṅku</b> ʻ hook ʼ in <smallcaps>ankuṭa -- , aṅkurá -- , aṅkuśá</smallcaps> -- . [Cf. Av. <i>anku</i> -- in cmpd. ʻ hook ʼ: √<smallcaps>añc</smallcaps>]<hr/><div id=""responsive_footer_table""><div id=""responsive_footer_tr""><div id=""responsive_footer_td""><a href=""/dictionaries/soas/"">Back to the Search Page </a>  |          <a href=""/dictionaries/"">Back to the DDSA Page</a>",cdial
108,Indo-Aryan,aṅkuṭa,<number>108</number> <b>aṅkuṭa</b> m. ʻ instrument for moving the bolt or bar of a door ʼ lex. [*<smallcaps>aṅku -- : √añc</smallcaps>],cdial
109,Indo-Aryan,aṅkurá,"<number>109</number> <b>aṅkurá</b> 1. ʻ *hooked ʼ. 2. m. ʻ sprout ʼ Uṇ., ʻ tumour ʼ Suśr. [*<smallcaps>aṅku -- : √añc</smallcaps>]",cdial
110,Indo-Aryan,aṅkurayati,"<number>110</number> *<b>aṅkurayati</b> ʻ sprouts ʼ, <i>aṅkurita</i> -- Kālid. [<smallcaps>aṅkurá</smallcaps> -- ]",cdial
111,Indo-Aryan,aṅkuśá,"<number>111</number> <b>aṅkuśá</b> m.n. ʻ hook, driver's hook ʼ RV. [*<smallcaps>aṅku -- : √añc</smallcaps>]",cdial
112,Indo-Aryan,aṅkūrá,<number>112</number> <b>aṅkūrá</b> m. ʻ sprout ʼ Uṇ. [Cf. <smallcaps>aṅkurá -- ; -- *aṅku -- : √añc</smallcaps>],cdial
113,Indo-Aryan,"aṅkōṭa- , aṅkōṭha","<number>113</number> <b>aṅkōṭa -- , aṅkōṭha</b> m. ʻ the small tree Alangium hexa- petalum ʼ lex. 2. <b>aṅkōla -- ,</b> <i>˚aka</i> -- . 3. <b>aṅkōlla -- .</b> [EWA i 20 with lit.]",cdial
114,Indo-Aryan,áṅga,"<number>114</number> <b>áṅga</b><superscript>1</superscript> n. ʻ limb ʼ RV., ʻ body ʼ Mn.",cdial
115,Indo-Aryan,aṅgakr̥ṣṭi,"<number>115</number> *<b>aṅgakr̥ṣṭi</b> f. ʻ stretching the body ʼ. [<smallcaps>áṅga -- <superscript>1</superscript>, kr̥ṣṭí</smallcaps>- or poss. *<smallcaps>vikr̥ṣṭi</smallcaps> -- ]",cdial
116,Indo-Aryan,aṅgajāta,"<number>116</number> <b>aṅgajāta</b> ʻ produced from the body ʼ MW without ref. [<smallcaps>áṅga -- <superscript>1</superscript>, jātá</smallcaps> -- ]",cdial
117,Indo-Aryan,aṅgada,<number>117</number> <b>aṅgada</b> n. ʻ bracelet on upper arm ʼ R. [← Muṇḍa Kuiper PMWS 124],cdial
118,Indo-Aryan,aṅgana,"<number>118</number> <b>aṅgana</b> n. ʻ act of walking ʼ lex., ʻ courtyard ʼ R., <i>˚aṇa</i> -- n. Kālid. [√<smallcaps>aṅg</smallcaps>]",cdial
